Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2016-05-19,0.973224632,0.998816464
2016-05-20,1.00314666,1.001404371
2016-05-23,0.983637828,0.996362521
2016-05-24,1.01077354,1.002815043
2016-05-25,1.029247495,1.029255669
2016-05-26,1.017563481,1.008480355
2016-05-27,1.022226745,1.003000211
2016-05-30,0.982796384,0.994059656
2016-05-31,1.003039021,1.00182242
2016-06-01,1.004484124,0.994288857
2016-06-02,1.013915142,0.999829809
2016-06-03,0.99551783,0.99727648
2016-06-06,0.997410152,0.999445274
2016-06-07,0.999720369,1.002220135
2016-06-08,1.008950691,0.990542728
2016-06-09,0.98019802,0.997247549
2016-06-10,0.994262626,1.001681904
2016-06-13,0.979640767,0.992723985
2016-06-14,0.994068113,0.999089253
2016-06-15,1.005800367,1.015366584
2016-06-16,0.996514957,0.99367278
2016-06-17,1.021940963,1.006754722
2016-06-20,1.000203699,1.001752137
2016-06-21,1.008635086,0.995392688
2016-06-22,1.000161531,1.004157202
2016-06-23,1.005773812,1.015877081
2016-06-24,0.981734243,0.976304512
2016-06-27,0.993334696,0.998321714
2016-06-28,1.011773423,1.006034743
2016-06-29,1.01598991,1.001156862
2016-06-30,1.004044692,1.006975948
2016-07-01,0.991025846,0.998342471
2016-07-04,1.011188473,0.998552576
2016-07-05,1.003542289,0.993860846
2016-07-07,1.023677322,1.017201441
2016-07-08,0.997171748,0.990891072
2016-07-11,1.021136063,1.021194195
2016-07-12,1.0149532,1.002000417
2016-07-13,0.997525773,0.996339891
2016-07-14,1.004885565,1.002170737
2016-07-15,1.020307416,1.01945266
2016-07-18,0.986987757,1.003064477
2016-07-19,0.994206558,0.992586256
2016-07-20,0.996936984,1.011367834
2016-07-21,0.998838473,0.997078396
2016-07-22,1.018080876,1.001790656
2016-07-25,1.018422992,1.013121547
2016-07-26,0.98947178,0.993464052
2016-07-27,1.014808585,0.998506619
2016-07-28,1.010412913,1.009297061
2016-07-29,0.980280284,0.998197765
2016-08-01,0.999854493,0.996870486
2016-08-02,0.976606272,1.000804959
2016-08-03,0.987557278,0.997707713
2016-08-04,0.996001358,1.000443387
2016-08-05,1.016626898,1.006647865
2016-08-08,1.018888309,1.000280168
2016-08-09,0.982120004,0.998079385
2016-08-10,0.99564408,0.983723541
2016-08-11,1.00845081,1.001100334
2016-08-12,1.024991657,1.000366375
2016-08-16,0.982925153,0.998860584
2016-08-17,1.006146259,1.006192455
2016-08-18,1.00541371,1.014252166
2016-08-19,0.996434548,0.995688623
2016-08-22,1.005951512,1.002565953
2016-08-23,0.998257776,1.000919779
2016-08-24,1.005599389,1.008270406
2016-08-25,0.981668294,0.997424314
2016-08-26,1.006519337,0.99884788
2016-08-29,1.006696674,0.984885848
2016-08-30,1.012068339,1.024674905
2016-08-31,1.009589828,1.0177748
2016-09-01,1.013732257,0.99419145
2016-09-02,1.010107036,1.001090597
2016-09-06,1.013132752,1.011905688
2016-09-07,0.978807311,0.98950323
2016-09-08,1.007462425,1.002059452
2016-09-09,0.981116984,1.000775555
2016-09-12,0.99177684,0.991862988
2016-09-14,0.99510382,0.9918353
2016-09-15,1.012821434,1.007995589
2016-09-16,0.990993227,1.014262269
2016-09-19,0.996743837,0.994067111
2016-09-20,1.000215393,0.998682324
2016-09-21,0.999461632,1.003531375
2016-09-22,1.015010594,1.010750193
2016-09-23,1.008384928,1.004437983
2016-09-26,0.99112343,0.987392397
2016-09-27,1.004566533,1.00146588
2016-09-28,1.003277187,0.997842918
2016-09-29,0.984440308,0.986296082
2016-09-30,0.994327101,0.996360078
